DATETIME,open,close,high,low
2007-01-03,86.29,83.8,86.58,81.9
2007-01-04,84.05,85.66,85.95,83.82
2007-01-05,85.77,85.05,86.2,84.4
2007-01-08,85.96,85.47,86.53,85.28
2007-01-09,86.45,92.57,92.98,85.15
2007-01-10,94.75,97.0,97.8,93.45
2007-01-11,95.94,95.8,96.78,95.1
2007-01-12,94.59,94.62,95.06,93.23
2007-01-16,95.68,97.1,97.25,95.45
2007-01-17,97.56,94.95,97.6,94.82
2007-01-18,92.1,89.07,92.11,89.05
2007-01-19,88.63,88.5,89.65,88.12
2007-01-22,89.14,86.79,89.16,85.65
2007-01-23,85.73,85.7,87.51,85.51
2007-01-24,86.68,86.7,87.15,86.08
2007-01-25,87.111,86.25,88.5,86.03
2007-01-26,87.115,85.38,87.37,84.99
2007-01-29,86.3,85.94,86.65,85.53
2007-01-30,86.43,85.55,86.49,85.25
2007-01-31,84.86,85.73,86.0,84.35
2007-02-01,86.23,84.74,86.27,84.74
2007-02-02,84.12,84.75,85.25,83.7
2007-02-05,84.3,83.94,85.23,83.94
2007-02-06,84.45,84.15,84.47,82.86
2007-02-07,84.5,86.15,86.38,83.55
2007-02-08,85.43,86.18,86.51,85.41
2007-02-09,85.88,83.27,86.2,83.21
2007-02-12,84.43,84.88,85.18,83.63
2007-02-13,85.16,84.7,85.29,84.3
2007-02-14,84.63,85.3,85.64,84.57
2007-02-15,85.44,85.21,85.62,84.78
2007-02-16,85.25,84.83,85.41,84.66
2007-02-20,84.65,85.9,86.16,84.16
2007-02-21,85.98,89.2,89.49,85.96
2007-02-22,90.8,89.51,90.81,88.53
2007-02-23,89.16,89.07,90.34,88.85
2007-02-26,89.84,88.65,90.0,87.61
2007-02-27,86.3,83.93,87.08,83.41
2007-02-28,83.0,84.61,85.6,83.0
2007-03-01,84.03,87.06,88.31,83.75
2007-03-02,86.77,85.41,87.54,85.21
2007-03-05,85.89,86.3199,88.65,85.76
2007-03-06,87.8,88.19,88.31,87.4
2007-03-07,88.05,87.72,88.97,87.45
2007-03-08,88.59,88.0,88.72,87.46
2007-03-09,88.8,87.97,88.85,87.4
2007-03-12,88.07,89.87,89.99,87.99
2007-03-13,89.41,88.4,90.6,88.4
2007-03-14,88.6,90.0,90.0,87.92
2007-03-15,89.96,89.57,90.36,89.31
2007-03-16,89.538,89.59,89.99,89.32
2007-03-19,90.24,91.13,91.55,89.59
2007-03-20,91.35,91.48,91.84,91.06
2007-03-21,91.99,93.87,94.0,91.65
2007-03-22,93.73,93.96,94.36,93.0
2007-03-23,93.35,93.52,94.07,93.3
2007-03-26,93.99,95.85,95.9,93.3
2007-03-27,95.71,95.46,96.83,95.0
2007-03-28,94.88,93.24,95.4,93.15
2007-03-29,94.19,93.75,94.19,92.23
2007-03-30,94.28,92.91,94.68,92.75
2007-04-02,94.14,93.65,94.25,93.02
2007-04-03,94.14,94.5,95.23,93.76
2007-04-04,94.94,94.27,95.14,94.13
2007-04-05,94.12,94.68,94.68,93.52
2007-04-09,95.21,93.65,95.3,93.04
2007-04-10,93.67,94.25,94.258,93.41
2007-04-11,93.9,92.59,93.95,92.33
2007-04-12,92.04,92.19,92.31,90.72
2007-04-13,90.9,90.24,91.4001,90.0599
2007-04-16,90.57,91.43,91.5,90.25
2007-04-17,92.0,90.35,92.3,89.7
2007-04-18,90.16,90.4,90.85,89.6
2007-04-19,90.19,90.27,91.25,89.83
2007-04-20,90.889,90.97,91.18,90.55
2007-04-23,91.585,93.51,93.8,91.42
2007-04-24,93.96,93.24,96.39,91.3
2007-04-25,94.23,95.348,95.4,93.8
2007-04-26,101.6,98.84,102.5,98.3
2007-04-27,98.18,99.92,99.95,97.69
2007-04-30,100.09,99.8,101.0,99.67
2007-05-01,99.59,99.47,100.35,98.55
2007-05-02,99.65,100.39,100.54,99.47
2007-05-03,100.73,100.4,101.45,100.01
2007-05-04,100.8,100.81,101.6,100.5
2007-05-07,101.08,103.92,104.35,101.01
2007-05-08,103.47,105.06,105.15,103.42
2007-05-09,104.91,106.88,106.96,104.89
2007-05-10,106.63,107.34,108.84,105.92
2007-05-11,107.74,108.74,109.13,106.78
2007-05-14,109.62,109.36,110.0,108.25
2007-05-15,109.57,107.52,110.2,106.48
2007-05-16,108.53,107.34,108.83,103.42
2007-05-17,107.15,109.44,109.87,107.15
2007-05-18,110.23,110.02,110.64,109.77
2007-05-21,110.31,111.98,112.45,110.05
2007-05-22,112.49,113.54,113.75,112.01
2007-05-23,114.02,112.89,115.0,112.59
2007-05-24,112.81,110.69,114.46,110.37
2007-05-25,112.0,113.62,113.78,111.5
2007-05-29,114.45,114.35,114.86,112.69
2007-05-30,114.3,118.77,118.88,113.53
2007-05-31,120.07,121.191,122.17,119.541
2007-06-01,121.1,118.4,121.19,118.29
2007-06-04,118.63,121.33,121.73,117.9
2007-06-05,121.41,122.67,122.69,120.5
2007-06-06,122.3,123.64,124.05,121.95
2007-06-07,124.99,124.069,127.61,123.19
2007-06-08,125.825,124.49,125.83,122.29
2007-06-11,126.0,120.19,126.15,119.54
2007-06-12,119.35,120.38,121.71,118.31
2007-06-13,121.15,117.5,121.19,115.4
2007-06-14,117.2,118.75,119.45,116.42
2007-06-15,120.62,120.5,120.67,119.86
2007-06-18,123.28,125.09,125.18,122.54
2007-06-19,124.69,123.66,125.01,122.91
2007-06-20,123.87,121.55,124.66,121.5
2007-06-21,121.7,123.9,124.29,120.72
2007-06-22,123.85,123.0,124.45,122.38
2007-06-25,124.19,122.34,125.09,121.06
2007-06-26,123.98,119.65,124.0,118.72
2007-06-27,120.61,121.89,122.04,119.26
2007-06-28,122.36,120.56,122.49,120.0
2007-06-29,121.97,122.04,124.0,121.09
2007-07-02,121.05,121.26,122.09,119.3
2007-07-03,122.0,127.17,127.4,121.5
2007-07-05,128.8,132.75,132.97,128.69
2007-07-06,133.13,132.3,133.34,130.4
2007-07-09,132.38,130.3301,132.9,129.18
2007-07-10,128.88,132.35,134.5,128.81
2007-07-11,132.07,132.39,133.7,131.31
2007-07-12,133.85,134.0699,134.24,132.39
2007-07-13,135.03,137.73,137.85,134.52
2007-07-16,138.39,138.1,139.98,137.5
2007-07-17,138.3,138.9099,139.6,137.5
2007-07-18,138.19,138.12,138.44,136.04
2007-07-19,140.3,140.0,140.81,139.65
2007-07-20,141.65,143.75,144.18,140.0
2007-07-23,143.31,143.7,145.22,140.93
2007-07-24,138.88,134.8899,141.0,134.15
2007-07-25,137.35,137.26,138.36,135.0
2007-07-26,145.91,146.0,148.5,136.96
2007-07-27,146.19,143.85,148.92,143.78
2007-07-30,144.33,141.43,145.45,139.57
2007-07-31,142.97,131.76,143.48,131.52
2007-08-01,133.64,135.0,135.38,127.77
2007-08-02,136.65,136.49,136.96,134.15
2007-08-03,135.26,131.8499,135.95,131.5
2007-08-06,132.9,135.25,135.27,128.3
2007-08-07,134.94,135.0301,137.24,132.63
2007-08-08,136.76,134.01,136.86,132.0
2007-08-09,131.11,126.39,133.0,125.09
2007-08-10,123.12,125.0,127.75,120.3
2007-08-13,128.32,127.79,129.35,126.5
2007-08-14,128.29,124.03,128.3,123.71
2007-08-15,122.74,119.9,124.86,119.65
2007-08-16,117.01,117.05,118.5,111.62
2007-08-17,122.01,122.06,123.5,119.82
2007-08-20,123.96,122.22,124.5,120.5
2007-08-21,122.21,127.57,128.96,121.0
2007-08-22,131.22,132.51,132.75,130.33
2007-08-23,133.09,131.07,133.34,129.76
2007-08-24,130.53,135.3,135.37,129.81
2007-08-27,133.3907,132.25,134.66,132.1
2007-08-28,130.99,126.82,132.41,126.63
2007-08-29,129.88,134.08,134.18,129.54
2007-08-30,132.67,136.25,138.25,132.3
2007-08-31,139.49,138.48,139.65,137.41
2007-09-04,139.94,144.16,145.73,139.84
2007-09-05,144.97,136.76,145.84,136.1
2007-09-06,135.56,135.01,137.57,132.71
2007-09-07,132.01,131.77,132.3,130.0
2007-09-10,136.995,136.71,138.04,133.95
2007-09-11,137.9,135.49,138.3,133.75
2007-09-12,135.99,136.85,139.4,135.75
2007-09-13,138.83,137.2,139.0,136.65
2007-09-14,136.57,138.81,138.98,136.2
2007-09-17,138.99,138.41,140.59,137.6
2007-09-18,139.06,140.92,142.85,137.83
2007-09-19,143.02,140.7699,143.16,139.4
2007-09-20,140.15,140.31,141.79,139.32
2007-09-21,141.14,144.15,144.65,140.31
2007-09-24,146.73,148.28,149.85,146.65
2007-09-25,146.84,153.18,153.22,146.82
2007-09-26,154.47,152.77,155.0,151.25
2007-09-27,153.77,154.5,154.52,152.32
2007-09-28,153.44,153.47,154.6,152.75
2007-10-01,154.63,156.339,157.41,152.93
2007-10-02,156.55,158.45,158.59,155.89
2007-10-03,157.78,157.9201,159.18,157.01
2007-10-04,158.0,156.24,158.08,153.5
2007-10-05,158.37,161.4499,161.58,157.7
2007-10-08,163.49,167.91,167.91,162.97
2007-10-09,170.2,167.86,171.11,166.68
2007-10-10,167.55,166.79,167.88,165.6
2007-10-11,169.49,162.23,171.88,153.21
2007-10-12,163.01,167.2537,167.28,161.8
2007-10-15,167.98,166.98,169.57,163.5
2007-10-16,165.54,169.58,170.18,165.15
2007-10-17,172.69,172.75,173.04,169.18
2007-10-18,171.5,173.5,174.19,171.05
2007-10-19,174.24,170.42,174.63,170.0
2007-10-22,170.35,174.36,174.9,169.9601
2007-10-23,188.56,186.16,188.6,182.76
2007-10-24,185.81,185.93,187.21,179.24
2007-10-25,184.87,182.78,185.9,181.66
2007-10-26,185.29,184.7,185.37,182.88
2007-10-29,185.45,185.09,186.59,184.7
2007-10-30,186.18,187.0,189.37,184.73
2007-10-31,187.63,189.95,190.12,184.95
2007-11-01,188.6,187.44,190.1,180.0
2007-11-02,189.21,187.87,189.44,183.49
2007-11-05,185.29,186.18,188.96,184.24
2007-11-06,187.05,191.79,192.0,185.27
2007-11-07,190.61,186.2999,192.68,186.13
2007-11-08,186.67,175.4663,186.9,167.77
2007-11-09,171.15,165.37,175.12,165.21
2007-11-12,165.28,153.76,167.7,150.63
2007-11-13,160.87,169.96,170.98,153.76
2007-11-14,177.23,166.11,177.57,163.74
2007-11-15,166.39,164.3,169.59,160.3
2007-11-16,165.3,166.39,167.02,159.33
2007-11-19,166.1,163.95,168.2,162.1
2007-11-20,165.67,168.85,171.79,163.53
2007-11-21,165.84,168.46,172.35,164.67
2007-11-23,172.0,171.54,172.05,169.75
2007-11-26,173.59,172.5419,177.2699,172.35
2007-11-27,175.22,174.81,175.79,170.01
2007-11-28,176.82,180.22,180.6,175.35
2007-11-29,179.43,184.29,185.17,179.15
2007-11-30,187.34,182.22,187.7,179.7
2007-12-03,181.86,178.86,184.14,177.7
2007-12-04,177.15,179.81,180.9,176.99
2007-12-05,182.89,185.5,186.0,182.41
2007-12-06,186.19,189.9528,190.1,186.12
2007-12-07,190.54,194.3,194.99,188.04
2007-12-10,193.59,194.21,195.66,192.69
2007-12-11,194.75,188.5404,196.83,187.39
2007-12-12,193.44,190.86,194.48,185.76
2007-12-13,190.19,191.83,192.12,187.82
2007-12-14,190.37,190.39,200.0,189.54
2007-12-17,190.72,184.4,192.65,182.98
2007-12-18,186.52,182.98,187.33,178.6
2007-12-19,182.98,183.12,184.6394,180.9
2007-12-20,185.43,187.21,187.83,183.33
2007-12-21,190.12,193.91,193.9125,189.89
2007-12-24,195.03,198.8,199.33,194.79
2007-12-26,199.01,198.95,200.96,196.82
2007-12-27,198.77,198.57,202.96,197.8
2007-12-28,200.59,199.83,201.56,196.8801
2007-12-31,199.5,198.08,200.5,197.75
2008-01-02,199.27,194.84,200.26,192.55
2008-01-03,195.41,194.93,197.39,192.69
2008-01-04,191.45,180.05,193.0,178.89
