前项,后项,支持度,置信度,,,,,,,
传媒指数上升,机械设备指数上升,53.33%,96.97%,,,,,,,
公用事业指数上升,建筑装饰指数上升,50.00%,96.77%,,,,,,,
通信指数上升,计算机指数上升,55.00%,94.29%,,,,,,,
电气设备指数上升,计算机指数上升,53.33%,94.12%,,,,,,,
化工指数上升,机械设备指数上升,53.33%,94.12%,,,,,,,
传媒指数上升,化工指数上升,51.67%,93.94%,,,,,,,
综合指数上升,化工指数上升,50.00%,93.75%,,,,,,,
机械设备指数上升,计算机指数上升,53.33%,91.43%,,,,,,,
机械设备指数上升,传媒指数上升,53.33%,91.43%,,,,,,,
机械设备指数上升,化工指数上升,53.33%,91.43%,,,,,,,
轻工制造指数上升,机械设备指数上升,51.67%,91.18%,,,,,,,
化工指数上升,传媒指数上升,51.67%,91.18%,,,,,,,
建筑装饰指数上升,机械设备指数上升,51.67%,91.18%,,,,,,,
电气设备指数上升,机械设备指数上升,51.67%,91.18%,,,,,,,
建筑装饰指数上升,轻工制造指数上升,51.67%,91.18%,,,,,,,
轻工制造指数上升,建筑装饰指数上升,51.67%,91.18%,,,,,,,
传媒指数上升,电气设备指数上升,50.00%,90.91%,,,,,,,
传媒指数上升,机械设备指数上升,50.00%,90.91%,,,,,,,
商业贸易指数上升,机械设备指数上升,50.00%,90.91%,,,,,,,
汽车指数上升,通信指数上升,50.00%,90.91%,,,,,,,
汽车指数上升,计算机指数上升,50.00%,90.91%,,,,,,,
汽车指数上升,机械设备指数上升,50.00%,90.91%,,,,,,,
传媒指数上升,计算机指数上升,50.00%,90.91%,,,,,,,
传媒指数上升,电气设备指数上升,50.00%,90.91%,,,,,,,
传媒指数上升,机械设备指数上升,50.00%,90.91%,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
